city,data,weather,tem_higher,tem_lower
静海,12日（周五）,晴转多云,7,3℃
静海,7日（明天）,阴转多云,2,-4℃
静海,8日（后天）,晴,1,-4℃
静海,9日（周二）,晴,-1,-5℃
静海,10日（周三）,晴,-1,-6℃
静海,11日（周四）,晴,1,-6℃
静海,12日（周五）,晴,3,-4℃
津南,6日（今天）,多云转阴,3,-5℃
塘沽,7日（明天）,阴转多云,2,-6℃
塘沽,8日（后天）,晴,1,-8℃
塘沽,9日（周二）,晴,-1,-7℃
塘沽,10日（周三）,晴,-1,-7℃
塘沽,11日（周四）,晴,1,-7℃
塘沽,12日（周五）,晴,3,-6℃
塘沽,6日（今天）,多云转阴,3,-8℃
塘沽,7日（明天）,阴转多云,2,-8℃
大港,8日（后天）,晴,1,-8℃
大港,9日（周二）,晴,-1,-8℃
大港,10日（周三）,晴,-1,-8℃
大港,11日（周四）,晴,1,-8℃
大港,12日（周五）,晴,3,-7℃
涪陵,6日（今天）,多云转阴,3,-7℃
涪陵,7日（明天）,阴转多云,2,-5℃
涪陵,8日（后天）,晴,1,-4℃
涪陵,9日（周二）,晴,-1,-5℃
涪陵,10日（周三）,晴,-1,-6℃
涪陵,11日（周四）,晴,1,-6℃
涪陵,12日（周五）,晴,3,-4℃
开县,6日（今天）,多云转阴,3,-6℃
城口,7日（明天）,阴转多云,2,-7℃
城口,8日（后天）,晴,1,-6℃
城口,9日（周二）,晴,-1,-5℃
城口,10日（周三）,晴,-1,-6℃
城口,11日（周四）,晴,1,-6℃
城口,12日（周五）,晴,3,-4℃
云阳,6日（今天）,多云转阴,4,-4℃
云阳,7日（明天）,阴转多云,2,-4℃
云阳,8日（后天）,晴,1,-4℃
云阳,9日（周二）,晴,-1,-5℃
云阳,10日（周三）,晴,-1,-6℃
云阳,6日（今天）,多云转阴,3,-7℃
云阳,6日（今天）,多云转阴,2,-6℃
巫溪,11日（周四）,晴,1,-6℃
巫溪,12日（周五）,晴,3,-4℃
巫溪,7日（明天）,阴转多云,2,-6℃
巫溪,8日（后天）,晴,1,-7℃
巫溪,9日（周二）,晴,-1,-6℃
巫溪,10日（周三）,晴,-1,-7℃
巫溪,11日（周四）,晴,1,-6℃
巫溪,12日（周五）,晴,3,-7℃
巫溪,7日（明天）,阴转多云,2,-7℃
巫溪,8日（后天）,晴,1,-6℃
巫溪,9日（周二）,晴,-1,-7℃
巫溪,10日（周三）,晴,-1,-7℃
巫溪,11日（周四）,晴,1,-6℃
巫溪,12日（周五）,晴,3,-5℃
巫溪,6日（今天）,多云转阴,3,-6℃
巫溪,7日（明天）,阴转多云,2,-7℃
巫溪,8日（后天）,晴,1,-6℃
奉节,6日（今天）,多云转阴,3,-4℃
奉节,7日（明天）,阴转多云,2,-5℃
奉节,6日（今天）,多云转阴,4,-4℃
奉节,7日（明天）,阴转多云,2,-4℃
奉节,9日（周二）,晴,-1,-5℃
奉节,10日（周三）,晴,-1,-6℃
奉节,11日（周四）,晴,1,-6℃
奉节,12日（周五）,晴,3,-5℃
奉节,6日（今天）,多云转阴,4,-4℃
奉节,7日（明天）,阴转多云,2,-4℃
奉节,8日（后天）,晴,1,-4℃
奉节,6日（今天）,多云转阴,3,-7℃
奉节,7日（明天）,阴转多云,2,-8℃
巫山,8日（后天）,晴,1,-6℃
巫山,9日（周二）,晴,-1,-6℃
巫山,10日（周三）,晴,0,-6℃
巫山,11日（周四）,晴,1,-5℃
巫山,12日（周五）,晴,3,-4℃
巫山,6日（今天）,小雨,7,4℃
巫山,7日（明天）,小雨,6,3℃
巫山,8日（后天）,晴,1,-4℃
巫山,9日（周二）,晴,-1,-5℃
巫山,10日（周三）,晴,-1,-6℃
巫山,11日（周四）,晴,1,-6℃
巫山,12日（周五）,晴,3,-4℃
巫山,6日（今天）,小雨,6,3℃
巫山,9日（周二）,晴,-1,-5℃
巫山,10日（周三）,晴,-1,-6℃
巫山,11日（周四）,晴,1,-6℃
巫山,12日（周五）,晴,3,-4℃
巫山,6日（今天）,多云转阴,3,-7℃
巫山,7日（明天）,阴转多云,2,-6℃
巫山,8日（后天）,晴,1,-8℃
巫山,9日（周二）,晴,-1,-9℃
巫山,6日（今天）,小雨,8,5℃
巫山,7日（明天）,小雨,6,4℃
巫山,8日（后天）,小雨转多云,6,2℃
巫山,8日（后天）,晴,1,-6℃
巫山,9日（周二）,晴,-1,-5℃
巫山,10日（周三）,晴,-1,-6℃
巫山,11日（周四）,晴,1,-6℃
巫山,12日（周五）,晴,3,-4℃
潼南,8日（后天）,小雨转多云,6,1℃
潼南,9日（周二）,多云,7,1℃
潼南,10日（周三）,晴转多云,9,1℃
潼南,11日（周四）,多云转阴,10,3℃
潼南,12日（周五）,阴,9,4℃
潼南,7日（明天）,小雨,5,2℃
潼南,8日（后天）,小雨转多云,5,-1℃
潼南,9日（周二）,晴,4,-1℃
潼南,10日（周三）,晴转多云,6,-1℃
潼南,11日（周四）,多云转阴,7,0℃
潼南,12日（周五）,阴转雨,6,2℃
潼南,6日（今天）,小雨,8,6℃
潼南,7日（明天）,小雨,7,4℃
潼南,10日（周三）,晴,-1,-9℃
潼南,11日（周四）,晴,1,-8℃
潼南,12日（周五）,晴,3,-8℃
潼南,6日（今天）,小雨,7,5℃
潼南,7日（明天）,小雨,6,4℃
潼南,8日（后天）,小雨转多云,7,2℃
潼南,9日（周二）,多云,8,2℃
潼南,9日（周二）,多云,8,2℃
潼南,10日（周三）,晴转多云,10,2℃
潼南,11日（周四）,多云转阴,11,4℃
潼南,12日（周五）,阴,10,5℃
垫江,6日（今天）,小雨,6,4℃
垫江,7日（明天）,小雨,5,3℃
垫江,8日（后天）,小雨转多云,6,0℃
垫江,9日（周二）,多云,7,0℃
垫江,10日（周三）,晴转多云,8,0℃
垫江,6日（今天）,小雨,6,3℃
垫江,7日（明天）,小雨,6,3℃
垫江,8日（后天）,阴转多云,7,2℃
垫江,9日（周二）,多云,8,2℃
垫江,6日（今天）,雨夹雪,2,0℃
垫江,7日（明天）,小雪,2,-1℃
垫江,8日（后天）,小雨转多云,7,2℃
垫江,9日（周二）,多云,8,2℃
垫江,10日（周三）,晴转多云,10,2℃
垫江,11日（周四）,多云转阴,11,4℃
垫江,12日（周五）,阴,10,5℃
垫江,6日（今天）,小雨,6,3℃
垫江,7日（明天）,小雨,5,2℃
垫江,10日（周三）,晴转多云,10,2℃
垫江,11日（周四）,多云转阴,11,4℃
垫江,12日（周五）,阴,10,5℃
垫江,6日（今天）,小雨,7,4℃
垫江,7日（明天）,小雨,6,3℃
垫江,8日（后天）,小雨转多云,4,0℃
垫江,9日（周二）,晴,6,0℃
垫江,27日（今天）,多云,20,10℃
垫江,28日（明天）,多云,23,10℃
垫江,29日（后天）,阵雨,18,12℃
垫江,30日（周四）,中雨转阵雨,14,11℃
垫江,31日（周五）,阵雨转晴,17,9℃
梁平,11日（周四）,多云转阴,9,2℃
梁平,12日（周五）,阴,8,4℃
梁平,10日（周三）,晴转多云,10,2℃
梁平,11日（周四）,多云转阴,11,4℃
梁平,12日（周五）,阴,10,4℃
梁平,8日（后天）,雨夹雪转阴,1,-3℃
梁平,9日（周二）,晴,4,-3℃
梁平,10日（周三）,晴,6,-2℃
梁平,11日（周四）,多云转阴,7,-1℃
梁平,12日（周五）,阴转雨夹雪,6,1℃
梁平,8日（后天）,小雨转多云,5,1℃
梁平,9日（周二）,多云,6,0℃
梁平,10日（周三）,晴转多云,8,0℃
梁平,11日（周四）,多云转阴,9,2℃
梁平,12日（周五）,阴,8,4℃
梁平,10日（周三）,晴转多云,7,0℃
梁平,11日（周四）,多云转阴,8,1℃
梁平,12日（周五）,阴,7,3℃
梁平,1日（周六）,多云,19,8℃
梁平,2日（周日）,多云,17,9℃
忠县,6日（今天）,小雪转中雪,0,-3℃
忠县,7日（明天）,中雪转小雪,-1,-4℃
忠县,8日（后天）,阴转晴,0,-7℃
忠县,9日（周二）,晴,5,-6℃
忠县,6日（今天）,小雨,7,5℃
忠县,7日（明天）,小雨,6,4℃
忠县,8日（后天）,小雨转多云,6,1℃
忠县,9日（周二）,晴,7,1℃
忠县,6日（今天）,雨夹雪,4,0℃
忠县,6日（今天）,小雨,8,5℃
忠县,7日（明天）,小雨,7,3℃
石柱,10日（周三）,晴,6,-4℃
石柱,11日（周四）,晴转多云,8,-3℃
石柱,12日（周五）,阴转雪,4,-2℃
石柱,10日（周三）,晴转多云,9,1℃
石柱,11日（周四）,多云转阴,10,3℃
石柱,12日（周五）,阴,9,4℃
石柱,7日（明天）,小雨转雨夹雪,2,0℃
石柱,8日（后天）,阴转晴,4,0℃
石柱,9日（周二）,晴,8,0℃
石柱,10日（周三）,晴,9,0℃
石柱,11日（周四）,晴转多云,11,1℃
石柱,12日（周五）,阴转雨夹雪,9,1℃
石柱,6日（今天）,小雨,7,4℃
石柱,7日（明天）,小雨,6,3℃
石柱,8日（后天）,阴转晴,6,0℃
石柱,8日（后天）,阴转晴,6,0℃
石柱,9日（周二）,晴,9,0℃
石柱,10日（周三）,晴,10,1℃
石柱,11日（周四）,晴转多云,12,2℃
石柱,12日（周五）,阴,10,3℃
石柱,6日（今天）,小雨,5,3℃
石柱,7日（明天）,小雨,4,2℃
石柱,8日（后天）,阴转晴,5,-2℃
大足,9日（周二）,晴,8,0℃
大足,10日（周三）,晴,9,0℃
大足,11日（周四）,晴转多云,11,1℃
大足,12日（周五）,阴,9,3℃
大足,9日（周二）,晴,6,-2℃
大足,10日（周三）,晴,7,0℃
大足,11日（周四）,晴转多云,9,0℃
大足,12日（周五）,阴,7,1℃
荣昌,6日（今天）,小雨,5,3℃
荣昌,7日（明天）,小雪转雨夹雪,4,1℃
铜梁,8日（后天）,阴转晴,5,0℃
铜梁,9日（周二）,晴,8,0℃
铜梁,10日（周三）,晴,9,0℃
铜梁,11日（周四）,晴转多云,11,1℃
铜梁,12日（周五）,阴,9,1℃
哈尔,6日（今天）,小雨,6,3℃
哈尔,7日（明天）,小雨,6,2℃
哈尔,8日（后天）,小雨转多云,5,0℃
哈尔,9日（周二）,晴,5,0℃
哈尔,10日（周三）,晴转多云,7,0℃
哈尔,11日（周四）,多云转阴,8,1℃
哈尔,12日（周五）,阴,7,2℃
哈尔,6日（今天）,小雨,6,3℃
哈尔,7日（明天）,小雨,6,3℃
哈尔,8日（后天）,阴转多云,6,2℃
哈尔,9日（周二）,多云,9,1℃
哈尔,10日（周三）,晴转多云,9,1℃
哈尔,11日（周四）,多云转阴,10,3℃
哈尔,12日（周五）,阴,9,2℃
延寿,6日（今天）,小雨,7,4℃
延寿,7日（明天）,小雨,6,4℃
延寿,8日（后天）,小雨转多云,6,2℃
延寿,9日（周二）,多云,7,1℃
延寿,10日（周三）,晴转多云,9,1℃
延寿,11日（周四）,多云转阴,10,3℃
延寿,12日（周五）,阴,9,4℃
延寿,6日（今天）,小雨,6,5℃
延寿,7日（明天）,小雨,6,3℃
尚志,8日（后天）,阴转多云,6,1℃
尚志,9日（周二）,多云,8,1℃
尚志,10日（周三）,晴转多云,9,1℃
尚志,11日（周四）,多云转阴,10,3℃
尚志,12日（周五）,阴,9,4℃
尚志,6日（今天）,阴转小雨,7,5℃
五常,6日（今天）,小雨,5,2℃
五常,7日（明天）,小雨,7,4℃
五常,8日（后天）,小雨转多云,7,0℃
五常,9日（周二）,晴,6,0℃
五常,10日（周三）,晴转多云,8,0℃
五常,11日（周四）,多云转阴,9,2℃
五常,12日（周五）,阴转雨,8,4℃
木兰,7日（明天）,小雨,4,1℃
木兰,8日（后天）,小雨转多云,4,0℃
木兰,9日（周二）,晴,5,-1℃
木兰,10日（周三）,晴转多云,7,-1℃
木兰,11日（周四）,多云转阴,8,1℃
木兰,12日（周五）,阴,7,1℃
木兰,6日（今天）,阴转小雨,7,5℃
木兰,7日（明天）,小雨,7,2℃
木兰,8日（后天）,小雨转多云,6,0℃
木兰,6日（今天）,阴转小雨,6,3℃
木兰,7日（明天）,小雨,5,2℃
木兰,8日（后天）,小雨转多云,5,-2℃
木兰,6日（今天）,小雨,6,3℃
木兰,7日（明天）,小雨,5,2℃
木兰,6日（今天）,雨夹雪转小雨,0,-1℃
木兰,7日（明天）,雨夹雪转小雪,-1,-2℃
木兰,8日（后天）,小雪转阴,2,-3℃
齐齐尔,9日（周二）,晴,6,0℃
齐齐尔,10日（周三）,晴转多云,8,0℃
齐齐尔,11日（周四）,多云转阴,9,2℃
齐齐尔,12日（周五）,阴转雨,8,4℃
齐齐尔,9日（周二）,晴,4,-2℃
齐齐尔,10日（周三）,晴转多云,6,-1℃
齐齐尔,11日（周四）,多云转阴,7,0℃
齐齐尔,12日（周五）,阴转雨,6,2℃
齐齐尔,8日（后天）,小雨转阴,5,0℃
齐齐尔,9日（周二）,晴,7,-1℃
齐齐尔,10日（周三）,晴,9,0℃
齐齐尔,11日（周四）,多云转阴,10,0℃
齐齐尔,12日（周五）,阴转雨,9,4℃
齐齐尔,6日（今天）,小雨,6,3℃
齐齐尔,7日（明天）,小雨,5,4℃
齐齐尔,8日（后天）,小雨转阴,5,0℃
齐齐尔,9日（周二）,晴,6,-1℃
齐齐尔,10日（周三）,晴,8,-1℃
齐齐尔,9日（周二）,晴,5,-1℃
齐齐尔,10日（周三）,晴,7,-1℃
齐齐尔,11日（周四）,多云转阴,8,0℃
齐齐尔,12日（周五）,阴转雨,7,2℃
讷河,6日（今天）,小雨,8,5℃
讷河,7日（明天）,小雨,6,4℃
讷河,8日（后天）,小雨转多云,6,2℃
讷河,9日（周二）,多云,8,2℃
讷河,10日（周三）,晴转多云,10,2℃
讷河,11日（周四）,多云转阴,11,4℃
讷河,6日（今天）,小雨,8,5℃
讷河,7日（明天）,小雨,6,4℃
讷河,6日（今天）,小雨,7,5℃
讷河,7日（明天）,阴转小雨,6,3℃
讷河,8日（后天）,阴转多云,7,1℃
讷河,6日（今天）,晴,-9,-19℃
讷河,7日（明天）,多云转阵雪,-6,-16℃
讷河,8日（后天）,阵雪,-7,-21℃
讷河,11日（周四）,多云转阴,9,0℃
讷河,12日（周五）,阴转雨,8,3℃
龙江,12日（周五）,阴,10,5℃
龙江,8日（后天）,小雨转多云,6,2℃
龙江,9日（周二）,多云,8,2℃
龙江,10日（周三）,晴转多云,10,2℃
龙江,11日（周四）,多云转阴,11,4℃
龙江,12日（周五）,阴,10,5℃
龙江,9日（周二）,多云,7,1℃
龙江,10日（周三）,晴转多云,9,1℃
龙江,11日（周四）,多云转阴,10,3℃
龙江,12日（周五）,阴转雨,9,3℃
龙江,6日（今天）,小雨,7,4℃
龙江,7日（明天）,小雨,6,2℃
龙江,9日（周二）,阵雪转多云,-15,-26℃
龙江,10日（周三）,晴,-17,-26℃
龙江,11日（周四）,晴,-18,-26℃
龙江,12日（周五）,晴,-13,-24℃
龙江,6日（今天）,晴,-9,-19℃
龙江,7日（明天）,多云转小雪,-6,-15℃
龙江,8日（后天）,小雪,-7,-21℃
龙江,9日（周二）,多云,-15,-27℃
甘南,6日（今天）,小雪转中雪,-1,-2℃
甘南,7日（明天）,小雪,-1,-4℃
甘南,8日（后天）,小雪转阴,0,-4℃
甘南,9日（周二）,晴,3,-3℃
甘南,6日（今天）,小雨,6,4℃
甘南,8日（后天）,小雨转多云,4,0℃
甘南,9日（周二）,晴,5,-1℃
甘南,10日（周三）,晴转多云,7,0℃
甘南,11日（周四）,多云转阴,8,1℃
甘南,12日（周五）,阴转雨,7,3℃
甘南,10日（周三）,多云转晴,-17,-27℃
甘南,11日（周四）,多云,-18,-27℃
甘南,12日（周五）,晴转阴,-12,-25℃
富裕,10日（周三）,晴,5,-2℃
富裕,11日（周四）,多云转阴,6,-2℃
富裕,12日（周五）,阴转雨夹雪,5,0℃
富裕,7日（明天）,小雨,6,2℃
富裕,8日（后天）,阴转多云,7,1℃
富裕,9日（周二）,多云,7,1℃
富裕,10日（周三）,晴转多云,9,1℃
富裕,11日（周四）,多云转阴,10,3℃
富裕,12日（周五）,阴,9,3℃
富裕,6日（今天）,晴,-9,-18℃
富裕,7日（明天）,多云转小雪,-6,-17℃
富裕,6日（今天）,晴,-11,-21℃
富裕,7日（明天）,多云转小雪,-8,-20℃
富裕,8日（后天）,中雪,-8,-22℃
富裕,9日（周二）,多云,-17,-29℃
富裕,6日（今天）,晴,-10,-20℃
富裕,7日（明天）,多云转小雪,-6,-17℃
富裕,8日（后天）,小雪,-8,-22℃
富裕,9日（周二）,多云,-16,-27℃
富裕,6日（今天）,晴,-9,-19℃
富裕,7日（明天）,多云转小雪,-6,-18℃
富裕,8日（后天）,小雪转中雪,-7,-21℃
富裕,6日（今天）,晴,-10,-18℃
富裕,7日（明天）,多云转小雪,-7,-16℃
富裕,8日（后天）,中雪,-6,-18℃
富裕,9日（周二）,小雪转多云,-16,-25℃
依安,8日（后天）,小雪,-7,-22℃
依安,9日（周二）,多云,-16,-28℃
依安,10日（周三）,多云转晴,-18,-28℃
依安,11日（周四）,多云,-18,-28℃
依安,12日（周五）,晴,-13,-26℃
依安,10日（周三）,多云转晴,-19,-30℃
依安,11日（周四）,多云,-20,-31℃
依安,12日（周五）,晴,-15,-29℃
依安,10日（周三）,多云转晴,-18,-29℃
依安,11日（周四）,多云,-19,-28℃
依安,12日（周五）,晴,-14,-26℃
依安,9日（周二）,多云,-15,-27℃
依安,10日（周三）,多云转晴,-18,-27℃
依安,11日（周四）,多云,-18,-26℃
依安,12日（周五）,晴转多云,-13,-24℃
依安,10日（周三）,多云,-17,-27℃
依安,11日（周四）,多云,-18,-27℃
依安,12日（周五）,多云转晴,-13,-26℃
拜泉,6日（今天）,晴,-12,-22℃
拜泉,6日（今天）,晴,-9,-18℃
拜泉,6日（今天）,晴,-10,-19℃
拜泉,6日（今天）,晴,-10,-22℃
拜泉,6日（今天）,晴,-12,-23℃
克山,7日（明天）,多云转小雪,-9,-21℃
克山,8日（后天）,中雪,-6,-20℃
克山,9日（周二）,小雪转多云,-15,-29℃
克山,10日（周三）,多云,-19,-30℃
克山,11日（周四）,多云,-20,-31℃
克山,12日（周五）,晴,-16,-29℃
克山,7日（明天）,多云转小雪,-6,-16℃
克山,8日（后天）,小雪,-7,-20℃
克山,9日（周二）,多云,-16,-27℃
克山,10日（周三）,多云,-17,-27℃
克山,11日（周四）,多云,-18,-27℃
克山,12日（周五）,晴转多云,-12,-25℃
克山,7日（明天）,多云转小雪,-7,-17℃
克山,8日（后天）,中雪,-5,-18℃
克山,9日（周二）,小雪转多云,-14,-27℃
克山,10日（周三）,多云,-18,-27℃
克山,11日（周四）,多云,-18,-27℃
克山,12日（周五）,晴转多云,-13,-25℃
克山,7日（明天）,多云转小雪,-6,-20℃
克山,8日（后天）,中雪转小雪,-6,-19℃
克山,9日（周二）,小雪转多云,-15,-28℃
